,Cause (X),Outcome (Y),Total Effect (TE),Refutation TE_DataSubset,Refutation TE_RandCommCause,Refutation TE_Placebo
21,ndhB_95650,ndhB_95225,0.04916881310184196,"Refute: Use a subset of data
Estimated effect:0.04916881310184196
New effect:0.0493922533083424
p value:0.8799999999999999
","Refute: Add a random common cause
Estimated effect:0.04916881310184196
New effect:0.049174257383917806
p value:0.9199999999999999
","Refute: Use a Placebo Treatment
Estimated effect:0.04916881310184196
New effect:-0.001068928981702183
p value:0.9
"
22,ndhB_96419,ndhB_94622,0.028859276905134713,"Refute: Use a subset of data
Estimated effect:0.028859276905134713
New effect:0.029330271600336088
p value:0.96
","Refute: Add a random common cause
Estimated effect:0.028859276905134713
New effect:0.0288974798676392
p value:0.76
","Refute: Use a Placebo Treatment
Estimated effect:0.028859276905134713
New effect:0.00031687390177773583
p value:1.0
"
23,ndhB_95644,ndhB_96457,0.02124020111971584,"Refute: Use a subset of data
Estimated effect:0.02124020111971584
New effect:0.021355757549886455
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.02124020111971584
New effect:0.021224162893368405
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.02124020111971584
New effect:0.0004419254073492444
p value:0.96
"
24,ndhB_95650,ndhB_97016,0.01647649232141868,"Refute: Use a subset of data
Estimated effect:0.01647649232141868
New effect:0.017506700722640222
p value:0.78
","Refute: Add a random common cause
Estimated effect:0.01647649232141868
New effect:0.016487782344354468
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.01647649232141868
New effect:-0.00023664178301926575
p value:0.96
"
25,ndhB_95608,ndhB_97016,0.0148697642557587,"Refute: Use a subset of data
Estimated effect:0.0148697642557587
New effect:0.013917019958387034
p value:0.9199999999999999
","Refute: Add a random common cause
Estimated effect:0.0148697642557587
New effect:0.014862270211323279
p value:0.96
","Refute: Use a Placebo Treatment
Estimated effect:0.0148697642557587
New effect:-0.0004759932720843385
p value:0.98
"
26,ndhB_95644,ndhB_94999,0.06112690519808839,"Refute: Use a subset of data
Estimated effect:0.06112690519808839
New effect:0.06166300071340467
p value:0.96
","Refute: Add a random common cause
Estimated effect:0.06112690519808839
New effect:0.061148039070538666
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.06112690519808839
New effect:-0.0001699877983139586
p value:0.98
"
27,ndhB_96419,ndhB_97016,0.05006093893869801,"Refute: Use a subset of data
Estimated effect:0.05006093893869801
New effect:0.050637130358289165
p value:0.8799999999999999
","Refute: Add a random common cause
Estimated effect:0.05006093893869801
New effect:0.050055043469901674
p value:1.0
","Refute: Use a Placebo Treatment
Estimated effect:0.05006093893869801
New effect:-0.0010422802413890808
p value:0.92
"
28,ndhB_95650,ndhB_96457,0.00586716341824833,"Refute: Use a subset of data
Estimated effect:0.00586716341824833
New effect:0.004833617184032308
p value:0.66
","Refute: Add a random common cause
Estimated effect:0.00586716341824833
New effect:0.005878248577468765
p value:0.84
","Refute: Use a Placebo Treatment
Estimated effect:0.00586716341824833
New effect:-0.0008782863191922999
p value:0.92
"
29,ndhB_95608,ndhB_96457,0.007860925935207408,"Refute: Use a subset of data
Estimated effect:0.007860925935207408
New effect:0.008613437537126794
p value:0.94
","Refute: Add a random common cause
Estimated effect:0.007860925935207408
New effect:0.007857114207183278
p value:0.94
","Refute: Use a Placebo Treatment
Estimated effect:0.007860925935207408
New effect:-0.0006146460009945856
p value:0.98
"
30,ndhB_95644,ndhB_95225,0.0064704478236010665,"Refute: Use a subset of data
Estimated effect:0.0064704478236010665
New effect:0.006616200589389372
p value:0.8799999999999999
","Refute: Add a random common cause
Estimated effect:0.0064704478236010665
New effect:0.006446040830653698
p value:0.84
","Refute: Use a Placebo Treatment
Estimated effect:0.0064704478236010665
New effect:-0.0007203691098432185
p value:0.96
"
